customer_id,entity_type,first_name,last_name,tin,address,city,state,zip,dob
cust_000001,Corporation,Bailey and Sons,,06-4737848,368 Anderson Ports Suite 407,Toddtown,MH,29658,2014-03-22
cust_000002,Individual,Carl,Stout,692-37-4709,2315 Jill Fall Apt. 731,North Michael,MA,32627,1958-05-03
cust_000003,Individual,Deborah,Aguirre,386-86-5939,48911 Nicholas Mountains,East Brandonstad,NC,02858,1937-06-20
cust_000004,LLC,Nguyen-Wolfe,,83-2410262,868 Dennis Plains Apt. 607,Kylefurt,RI,80877,2023-11-14
cust_000005,Individual,Linda,Edwards,895-20-3107,5315 Lane Drive,Lake Karen,ND,84367,1944-11-23
cust_000006,LLC,Huang Ltd,,14-6194919,91081 Dougherty Fords Apt. 815,Riosshire,HI,20470,2003-12-30
cust_000007,Individual,Donna,Coleman,193-89-3374,907 Charles Views,East Michaelland,MI,89197,1943-11-17
cust_000008,Individual,Isaac,Rhodes,342-13-7151,0760 Karen Crossing Apt. 836,West Sandraside,AR,33224,1992-10-02
cust_000009,Individual,Sean,Johnson,155-21-0836,41861 Eric Streets Apt. 731,Lake Markview,FL,02665,1960-11-15
cust_000010,Individual,Jacqueline,Arellano,734-82-8301,386 Pena Gardens,Lake Ashleymouth,PA,09230,1957-12-18
cust_000011,Individual,Katherine,Carpenter,752-54-2940,5068 Delgado Course,East Thomas,ND,66336,1987-03-14
cust_000012,LLC,"Rivas, Gonzalez and Brennan",,,772 Stephenson Streets Apt. 382,Briannafort,NM,11454,2022-11-26
cust_000013,LLC,Miles-Collins,,54-2592531,110 Judy Village Suite 667,New Patrick,DE,61613,2008-12-02
cust_000014,Individual,Marissa,Bowers,245-49-1438,23318 Jones Passage,Williammouth,GU,01031,1936-08-10
cust_000015,Partnership,Rodriguez-Phillips,,72-5183707,55883 Lester Harbor,Johnside,KS,13953,2022-06-28
cust_000016,Individual,Richard,Garcia,864-30-0641,551 Love Ports Apt. 912,Lake Jessica,OK,75152,1987-01-30
cust_000017,Corporation,"Spencer, Baker and Kim",,82-4445211,17086 Brandon Circles Apt. 497,Dawsonberg,RI,61480,2026-01-08
cust_000018,Individual,Yolanda,Martinez,811-18-6323,7086 Jennifer Cliff,Amandaview,VI,12841,1980-10-20
cust_000019,Individual,Eric,Klein,715-55-2167,524 Martin Well,Nolanville,MH,61423,1972-12-21
cust_000020,Individual,John,Schmidt,704-29-0907,92547 Reed Causeway Suite 378,South Shaneland,AR,28525,2004-09-30
cust_000021,Individual,Michael,Harrison,568-55-5521,1758 Randall Heights Suite 649,West Robert,HI,19513,1971-03-20
cust_000022,Individual,Nicole,Colon,874-75-1333,1519 Steven Road,Joseside,NE,71073,2000-04-05
cust_000023,LLC,"Thomas, Walsh and Weiss",,91-9259909,086 Vanessa Knolls,Jamesborough,VI,47728,2020-10-23
cust_000024,LLC,Brown LLC,,,4259 Jennifer Wall,East Danielle,PW,06335,2019-09-18
cust_000025,Individual,Steven,Armstrong,319-19-0524,529 Graham Ports,East Caitlinville,CT,48425,1972-06-07
cust_000026,Individual,James,Martin,393-05-2442,475 Padilla Viaduct,East Craig,WY,49013,2000-11-22
cust_000027,Corporation,Munoz Group,,54-7993755,0731 Jessica River,New Dana,TN,35956,2017-03-19
cust_000028,Individual,Carl,Williams,825-96-5802,9005 Eric Green,East Paul,DE,97102,1962-07-08
cust_000029,Individual,Ruth,Williams,,3051 Berg Well Apt. 591,Catherinestad,TX,25214,2004-09-29
cust_000030,Individual,Isabella,Lopez,052-58-8145,2774 John Square Suite 750,West Kaylaborough,PW,69391,2007-03-22
cust_000031,Individual,Caitlin,Garcia,424-12-8914,55129 Wong Greens Suite 962,Lake Cheryl,MS,57449,1954-05-25
cust_000032,Individual,Bradley,Trujillo,252-10-1528,2524 Perez Bypass Suite 810,West Danny,OK,96251,1946-02-17
cust_000033,Individual,Micheal,Porter,384-51-2678,74046 Rebekah Well,Hopkinschester,DE,81389,1975-09-28
cust_000034,Individual,Heather,Garner,479-55-3476,915 Maria Plaza Suite 857,Lopezchester,VT,72919,1977-02-09
cust_000035,Individual,Jaime,Pace,,244 Drake Garden,West Kenneth,WY,63654,1947-06-25
cust_000036,Individual,Tanya,Conner,045-56-8460,543 Livingston Street Apt. 827,Melindaburgh,PR,15672,1959-03-09
cust_000037,Individual,Michael,Fischer,452-87-2314,26762 Donald Shore,East Melissa,TN,46818,1965-12-14
cust_000038,Corporation,Park Inc,,71-0363057,310 Carolyn Drive Apt. 462,New Abigail,OK,86412,2005-01-22
cust_000039,Individual,Ryan,Gomez,744-09-4093,42954 King Ridges Apt. 660,Lake Ruthview,SD,85146,1972-04-28
cust_000040,Partnership,Burns-Riddle,,30-7033076,284 Salinas Common Apt. 967,New Marissamouth,ID,37875,2001-09-15
cust_000041,Corporation,Curtis-Pearson,,39-0614194,52272 John Station,New Kenneth,WI,50874,2003-11-27
cust_000042,Individual,John,Green,110-01-9433,6209 Morrow Crossroad Suite 898,Susanhaven,DE,30585,1965-03-27
cust_000043,LLC,Henry and Sons,,03-2985513,9698 Spencer Lakes,Anneton,IA,43107,2023-12-20
cust_000044,Individual,Brittany,Schwartz,718-52-8942,71091 Miller Rue,New Anthony,VA,96912,2004-03-29
cust_000045,Individual,Thomas,Shea,,062 Williams Overpass,Evansbury,ID,34283,1951-03-12
cust_000046,Individual,Tammy,Kim,895-88-5877,8558 Larry Hill,Port Charlesborough,TN,23624,1951-07-23
cust_000047,Corporation,Barajas Inc,,46-8987544,43182 Kristin Vista Apt. 730,Blackwellberg,AK,98939,2011-03-01
cust_000048,Individual,Natasha,Martin,713-47-6019,92032 Angela Station Suite 032,North Rebeccamouth,AZ,03752,1995-12-07
cust_000049,Individual,Debra,Robinson,416-18-1494,2549 Carol Fork Apt. 916,Justinmouth,AR,10721,2005-04-05
cust_000050,LLC,"Adams, Monroe and Brown",,95-7919544,8515 Banks Square,Markborough,SC,39646,2021-02-22
cust_000051,Individual,Deborah,Brown,516-93-0416,55850 Brown Way,Barkerburgh,HI,33331,1942-05-28
cust_000052,Individual,Christopher,Cruz,857-76-9743,45854 Osborn Pass,North Emily,UT,34307,1972-08-21
cust_000053,Individual,Richard,Stevenson,830-44-2977,4092 Kendra Well,New Charles,PA,66989,1993-07-26
cust_000054,Individual,Jeffrey,Jordan,475-06-6564,5749 Hanson Squares,Anthonyborough,NM,32352,1994-03-26
cust_000055,Individual,Stephen,Manning,690-58-9157,3193 Conway Loaf Suite 037,Petersonstad,NJ,25544,1989-06-27
cust_000056,Individual,Linda,Jenkins,415-97-1586,09483 Dennis Tunnel Suite 955,Port James,CA,53347,1969-07-16
cust_000057,LLC,"Mckinney, Garcia and Jackson",,24-6904760,67180 Valerie Island Apt. 182,Lake Sean,PW,68678,2020-09-07
cust_000058,Individual,Larry,Williams,463-71-3207,6038 Martin Corners Suite 350,Port Hailey,NY,47144,1993-03-26
cust_000059,Individual,William,Scott,486-92-9639,535 Harris Mills Apt. 815,Jenkinsbury,ID,54696,1965-05-26
cust_000060,Individual,Curtis,Simmons,382-38-8751,05828 Conley Manors,North Melissashire,MT,36430,1997-11-20
cust_000061,Partnership,"Vaughn, Vasquez and Brooks",,92-8075620,6474 Jason Shoals,Collierbury,LA,49271,2022-08-08
cust_000062,Individual,Donna,Burns,574-98-4699,56211 Gomez Ports,Gravesside,OH,24159,1941-01-04
cust_000063,LLC,Gonzalez-Moore,,71-0702391,514 Eric Island,Johnland,MI,83379,2019-03-26
cust_000064,LLC,Mcclure Ltd,,34-2798830,765 Gonzales Lights Suite 069,Claytonfurt,AL,54969,2012-01-04
cust_000065,Corporation,Luna-Joyce,,48-8863003,5406 Buchanan Plaza Suite 449,Allenmouth,IL,45583,2016-08-18
cust_000066,Individual,Brandon,Baxter,097-04-5560,9000 John Lock Apt. 453,West Jamesfurt,GU,40301,1991-09-17
cust_000067,Individual,Jennifer,Johnson,384-73-7023,16682 Amy Lodge,Brittanyland,MD,98206,1958-09-18
cust_000068,Corporation,Salinas Inc,,59-2817410,345 Alexander Bridge Apt. 737,West Katherineton,AL,38155,2025-08-21
cust_000069,LLC,Smith LLC,,42-7755261,307 Davidson View Apt. 979,North Andreaview,IA,13313,2023-06-10
cust_000070,Individual,Ashley,Stephens,230-97-7426,703 Robin Center Apt. 044,Fitzpatrickland,NE,92579,1988-05-06
cust_000071,Individual,John,Mercado,591-83-0056,5675 Estrada Brooks,Kaylachester,SC,36893,1953-06-25
cust_000072,Individual,Melissa,Norris,698-36-2144,79278 Spencer Forge,West Samantha,AS,35579,1973-12-25
cust_000073,Individual,Jesse,Walker,643-41-0949,47555 Jared Loaf,Lewiston,WV,90451,1959-10-06
cust_000074,Individual,Joseph,Sanchez,432-06-4327,93300 Miller Extensions,Lake Melissa,LA,50178,1948-09-08
cust_000075,Individual,Joseph,Frank,523-87-0036,2761 Wise Parkways Suite 375,West Danaport,WI,83551,1941-07-01
cust_000076,LLC,Gonzales-Parker,,27-4257284,8491 Taylor Squares,Johnberg,GU,05016,2008-01-08
cust_000077,Individual,Daniel,Hayes,636-38-5374,4929 Mueller Fort Suite 142,Rachelstad,IN,36874,1982-02-18
cust_000078,LLC,Carroll-Jones,,85-3270259,3323 Amber Overpass,Kelseystad,SD,35918,2012-05-21
cust_000079,Corporation,Perkins and Sons,,05-6568808,5642 James Mews,South Amandamouth,MH,09117,2015-04-27
cust_000080,Corporation,Curtis Inc,,40-8513384,86172 Henderson Hills Apt. 476,Anthonyhaven,LA,18433,2001-11-02
cust_000081,Corporation,Li LLC,,80-0699039,9661 Sanchez Fort Suite 738,Roblesborough,IL,22050,2003-01-15
cust_000082,Individual,Sarah,Sawyer,560-28-1238,00229 Archer Court Apt. 128,Reedshire,IL,88534,1958-11-08
cust_000083,Individual,William,Callahan,603-46-6071,063 Kristen Road,Lake Jennifershire,UT,45657,1990-10-10
cust_000084,Individual,Angela,Johnson,854-05-2639,866 Smith Village,Rhondabury,SC,32556,2001-06-29
cust_000085,LLC,"Berger, Gibson and Berry",,22-3762996,7364 Barr Ville,Port Kellyville,TX,90337,2001-02-12
cust_000086,Individual,Christopher,Lee,628-97-8556,8744 Forbes Drive,North Kristin,MD,34894,1987-09-17
cust_000087,Individual,Shawn,Martinez,632-03-2521,384 White Pine,Robertville,MN,31548,1993-06-30
cust_000088,Individual,Steve,White,581-98-6357,29620 Elizabeth Junction Apt. 718,Randallstad,NH,33249,1946-09-04
cust_000089,Individual,Michael,Mccoy,202-13-2097,718 Cox Canyon,Gibbsmouth,MT,88745,1975-10-02
