customer_id,entity_type,first_name,last_name,tin,address,city,state,zip,dob
noncust_000001,Individual,Zoe,Pruitt,212-68-1862,525 Stewart Stream,Meadowsburgh,AR,95494,1938-05-16
noncust_000002,Individual,Jose,Booth,560-51-1076,23334 Jeffrey Island,Davidchester,IL,06762,1965-03-19
noncust_000003,Individual,Kristen,Wheeler,310-14-4869,181 Allen Court Suite 609,Lake Jeffreyfort,PA,66979,1939-02-15
noncust_000004,Individual,Mark,Russell,547-49-7306,8294 Brendan Hollow Apt. 165,Connorborough,WY,07764,1964-12-17
noncust_000005,Individual,Kayla,Chavez,273-07-6819,25975 Timothy Path,Mooreshire,MI,74650,1997-10-23
noncust_000006,Individual,Jessica,Gilmore,572-06-2015,778 Jenkins Station Suite 202,Johnsonview,KY,23732,1957-04-16
noncust_000007,Individual,Frank,White,504-14-7660,73499 Boyd Ports Apt. 166,New Emily,CO,63381,1945-07-23
noncust_000008,Individual,Lee,Moreno,263-14-4223,898 Carpenter Keys,Chambersport,LA,83389,2006-09-22
noncust_000009,Individual,Kevin,Gutierrez,008-33-7895,3020 Krueger Crest Suite 585,East James,MI,45698,1960-03-26
noncust_000010,Individual,David,Young,841-10-9457,5659 Gary Landing,Wareport,MA,19713,1936-12-21
noncust_000011,Individual,Sarah,Walker,319-08-8773,78366 Bradley Shores,Ericland,WV,82302,2006-07-22
noncust_000012,Individual,Dawn,Shields,521-76-1119,995 Francis Skyway,East Anne,PR,53432,1992-09-11
noncust_000013,Individual,Anthony,Browning,028-49-8580,9923 Mary Tunnel,East Juanfurt,WI,60770,1968-07-22
noncust_000014,Individual,Jason,Smith,891-11-3576,2322 Sanders Rapids,Wagnermouth,MP,76309,1965-10-06
noncust_000015,Individual,Stephanie,Johnson,343-41-8247,958 Vanessa Hollow Apt. 655,Jasminebury,KS,07675,1992-10-11
noncust_000016,Individual,Steven,Winters,785-45-2978,21015 Mark Mountain,West Hailey,WI,30769,1949-03-11
noncust_000017,Individual,Eric,Powers,520-12-6439,72908 Cynthia Point Suite 890,Port Kimberly,WA,70137,2003-04-22
noncust_000018,Individual,Zachary,Gross,785-58-1074,70700 Oconnor Creek,Brandystad,VA,60121,1994-06-29
noncust_000019,Individual,Sean,Fuller,648-98-8098,945 Johnson Summit,Suzannefurt,AR,48884,1976-09-18
noncust_000020,Individual,Richard,Kennedy,343-18-8198,9648 Julie Corner,Codyland,KS,84073,1966-01-13
noncust_000021,Individual,Katherine,Baldwin,806-40-8878,22736 Steven Extension,Peterbury,LA,81260,1941-12-24
noncust_000022,Individual,Jessica,Chang,206-27-9371,612 Sandra Valley,South Robin,LA,31040,1997-03-24
noncust_000023,Individual,Denise,Wilkinson,757-29-5823,88680 Barbara Stravenue Apt. 804,South Mark,HI,83199,1949-10-26
noncust_000024,Individual,Peter,Holloway,435-95-8662,6237 Ryan Plain Apt. 886,Wadeton,ME,28470,1952-12-15
noncust_000025,Individual,Michael,Johnson,150-90-1626,24087 Walker Forest Suite 814,Luistown,MI,11610,2002-09-23
noncust_000026,Individual,Joseph,Gonzalez,576-28-1165,983 Hannah Walk Apt. 458,Port Dawnchester,VT,50952,1997-11-27
noncust_000027,Individual,Erik,George,532-51-7275,4722 Garcia Parks,Hudsontown,NC,18229,2006-03-09
noncust_000028,Individual,Pamela,Perez,143-86-7166,97897 Greene Plaza Apt. 597,Normanport,PW,07771,1969-10-25
noncust_000029,Individual,Chloe,Fleming,136-76-4531,8899 Christopher Point,Henryberg,NM,44871,1975-09-13
noncust_000030,Individual,Wanda,Ayala,565-87-9780,6593 John Coves,Harrismouth,NJ,07284,1963-01-13
noncust_000031,Individual,Terri,Williams,172-20-8776,37107 Evans Mountains Apt. 434,South Justinchester,UT,73671,1973-07-11
noncust_000032,Individual,Frank,Bailey,084-94-9490,4015 Jennifer Plaza Suite 250,Anitaville,NE,40727,1938-01-31
noncust_000033,Individual,Trevor,Miles,888-60-8993,88552 Renee Canyon,Ryanmouth,MT,79987,2003-08-01
